3:Start of One Benchmark
58:Start of One Benchmark
371:Start of One Benchmark
390:Start of One Benchmark
392:Memsweep time in seconds: 5.160
394:Memsweep time in seconds: 5.190
396:Memsweep time in seconds: 5.220
398:Memsweep time in seconds: 5.230
400:Memsweep time in seconds: 5.170
402:Memsweep time in seconds: 5.200
404:Memsweep time in seconds: 5.200
406:Memsweep time in seconds: 5.210
408:Memsweep time in seconds: 5.180
410:Memsweep time in seconds: 5.230
412:Memsweep time in seconds: 5.170
414:Memsweep time in seconds: 5.160
416:Memsweep time in seconds: 5.180
418:Memsweep time in seconds: 5.190
420:Memsweep time in seconds: 5.200
422:Memsweep time in seconds: 5.160
424:Memsweep time in seconds: 5.220
426:Memsweep time in seconds: 5.180
428:Memsweep time in seconds: 5.170
430:Memsweep time in seconds: 5.210
432:Memsweep time in seconds: 5.160
434:Memsweep time in seconds: 5.180
436:Memsweep time in seconds: 5.170
438:Memsweep time in seconds: 5.150
440:Memsweep time in seconds: 5.220
442:Memsweep time in seconds: 5.200
444:Memsweep time in seconds: 5.260
446:Memsweep time in seconds: 5.250
448:Memsweep time in seconds: 5.230
450:Memsweep time in seconds: 5.190
452:Memsweep time in seconds: 5.220
454:Memsweep time in seconds: 5.180
456:Memsweep time in seconds: 5.180
458:Memsweep time in seconds: 5.160
460:Memsweep time in seconds: 5.190
462:Memsweep time in seconds: 5.190
464:Memsweep time in seconds: 5.260
466:Memsweep time in seconds: 5.220
468:Memsweep time in seconds: 5.210
470:Memsweep time in seconds: 5.230
472:Memsweep time in seconds: 5.180
474:Memsweep time in seconds: 5.160
476:Memsweep time in seconds: 5.180
478:Memsweep time in seconds: 5.200
480:Memsweep time in seconds: 5.180
482:Memsweep time in seconds: 5.200
484:Memsweep time in seconds: 5.150
486:Memsweep time in seconds: 5.230
488:Memsweep time in seconds: 5.200
490:Memsweep time in seconds: 5.180
492:Memsweep time in seconds: 5.180
494:Memsweep time in seconds: 5.210
496:Memsweep time in seconds: 5.170
498:Memsweep time in seconds: 5.190
500:Memsweep time in seconds: 5.190
502:Memsweep time in seconds: 5.200
504:Memsweep time in seconds: 5.160
506:Memsweep time in seconds: 5.230
509:Start of One Benchmark
564:Start of One Benchmark
877:Start of One Benchmark
898:Start of One Benchmark
900:Memsweep time in seconds: 5.260
902:Memsweep time in seconds: 5.280
904:Memsweep time in seconds: 5.290
906:Memsweep time in seconds: 5.310
908:Memsweep time in seconds: 5.280
910:Memsweep time in seconds: 5.280
912:Memsweep time in seconds: 5.330
914:Memsweep time in seconds: 5.300
916:Memsweep time in seconds: 5.310
918:Memsweep time in seconds: 5.260
920:Memsweep time in seconds: 5.300
922:Memsweep time in seconds: 5.300
924:Memsweep time in seconds: 5.320
926:Memsweep time in seconds: 5.320
928:Memsweep time in seconds: 5.310
930:Memsweep time in seconds: 5.310
932:Memsweep time in seconds: 5.290
934:Memsweep time in seconds: 5.320
936:Memsweep time in seconds: 5.340
938:Memsweep time in seconds: 5.320
940:Memsweep time in seconds: 5.260
942:Memsweep time in seconds: 5.300
944:Memsweep time in seconds: 5.280
946:Memsweep time in seconds: 5.290
948:Memsweep time in seconds: 5.310
950:Memsweep time in seconds: 5.320
952:Memsweep time in seconds: 5.280
954:Memsweep time in seconds: 5.280
956:Memsweep time in seconds: 5.280
958:Memsweep time in seconds: 5.280
960:Memsweep time in seconds: 5.290
962:Memsweep time in seconds: 5.300
964:Memsweep time in seconds: 5.300
966:Memsweep time in seconds: 5.320
968:Memsweep time in seconds: 5.290
970:Memsweep time in seconds: 5.290
972:Memsweep time in seconds: 5.280
974:Memsweep time in seconds: 5.280
976:Memsweep time in seconds: 5.280
978:Memsweep time in seconds: 5.280
980:Memsweep time in seconds: 5.300
982:Memsweep time in seconds: 5.330
984:Memsweep time in seconds: 5.320
986:Memsweep time in seconds: 5.300
988:Memsweep time in seconds: 5.250
990:Memsweep time in seconds: 5.270
992:Memsweep time in seconds: 5.260
994:Memsweep time in seconds: 5.260
996:Memsweep time in seconds: 5.300
998:Memsweep time in seconds: 5.300
1000:Memsweep time in seconds: 5.310
1002:Memsweep time in seconds: 5.260
1004:Memsweep time in seconds: 5.290
1006:Memsweep time in seconds: 5.240
1008:Memsweep time in seconds: 5.270
1010:Memsweep time in seconds: 5.240
1012:Memsweep time in seconds: 5.260
1015:Start of One Benchmark
1070:Start of One Benchmark
1383:Start of One Benchmark
1400:Start of One Benchmark
1402:Memsweep time in seconds: 5.250
1404:Memsweep time in seconds: 5.260
1406:Memsweep time in seconds: 5.240
1408:Memsweep time in seconds: 5.220
1410:Memsweep time in seconds: 5.270
1412:Memsweep time in seconds: 5.220
1414:Memsweep time in seconds: 5.200
1416:Memsweep time in seconds: 5.230
1418:Memsweep time in seconds: 5.250
1420:Memsweep time in seconds: 5.260
1422:Memsweep time in seconds: 5.260
1424:Memsweep time in seconds: 5.270
1426:Memsweep time in seconds: 5.280
1428:Memsweep time in seconds: 5.290
1430:Memsweep time in seconds: 5.330
1432:Memsweep time in seconds: 5.290
1434:Memsweep time in seconds: 5.270
1436:Memsweep time in seconds: 5.280
1438:Memsweep time in seconds: 5.260
1440:Memsweep time in seconds: 5.320
1442:Memsweep time in seconds: 5.270
1444:Memsweep time in seconds: 5.230
1446:Memsweep time in seconds: 5.240
1448:Memsweep time in seconds: 5.260
1450:Memsweep time in seconds: 5.240
1452:Memsweep time in seconds: 5.280
1454:Memsweep time in seconds: 5.300
1456:Memsweep time in seconds: 5.240
1458:Memsweep time in seconds: 5.280
1460:Memsweep time in seconds: 5.260
1462:Memsweep time in seconds: 5.320
1464:Memsweep time in seconds: 5.260
